"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"after";"both";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.82";"-0.50±0.08";"-6.00";"<0.001"
"after";"both";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.23";"-0.61±0.07";"-8.35";"<0.001"
"after";"both";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.60";"-0.80±0.06";"-12.76";"<0.001"
"after";"calls";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"-0.48";"0.01±0.12";"0.09";"0.93"
"after";"calls";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.11";"-0.16±0.10";"-1.57";"0.12"
"after";"calls";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.40";"-0.35±0.09";"-3.88";"<0.001"
"after";"calls";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.57";"-0.58±0.08";"-6.93";"<0.001"
"after";"song";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"-0.18";"-0.86±0.12";"-7.00";"<0.001"
"after";"song";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.23";"-0.90±0.11";"-8.34";"<0.001"
"after";"song";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.59";"-0.76±0.09";"-8.45";"<0.001"
"after";"song";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.05";"-0.68±0.08";"-9.02";"<0.001"
