"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"after";"both";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.82";"-0.50±0.08";"-6.00";"<0.001"
"after";"both";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.23";"-0.61±0.07";"-8.35";"<0.001"
"after";"both";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.60";"-0.80±0.06";"-12.76";"<0.001"
"after";"both";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.93";"-0.72±0.06";"-13.05";"<0.001"
"after";"both";-38;0;"comparisons";"zero-inflated poisson";165;29;55;2;"2.24";"-0.68±0.05";"-14.05";"<0.001"
"after";"both";-40;0;"comparisons";"zero-inflated poisson";165;29;55;2;"2.44";"-0.64±0.04";"-14.89";"<0.001"
"after";"both";-30;0;"comparisons";"poisson";67;24;37;2;"2.31";"-0.48±0.08";"-5.85";"<0.001"
"after";"both";-32;0;"comparisons";"poisson";77;25;41;2;"2.39";"-0.59±0.07";"-8.26";"<0.001"
"after";"both";-34;0;"comparisons";"poisson";87;26;45;2;"2.45";"-0.78±0.06";"-12.61";"<0.001"
"after";"both";-36;0;"comparisons";"poisson";98;27;48;2;"2.54";"-0.71±0.05";"-12.98";"<0.001"
"after";"both";-38;0;"comparisons";"poisson";111;28;50;2;"2.65";"-0.67±0.05";"-14.02";"<0.001"
"after";"both";-40;0;"comparisons";"poisson";119;28;51;2;"2.79";"-0.64±0.04";"-14.85";"<0.001"
"after";"both";-40;0;"comparisons";"poisson";119;28;51;2;"2.79";"-0.64±0.04";"-14.85";"<0.001"
"after";"both";-30;0;"comparisons";"binomial";165;29;55;2;"0.12";"-1.37±0.54";"-2.55";"0.01"
"after";"both";-32;0;"comparisons";"binomial";165;29;55;2;"0.32";"-1.02±0.50";"-2.05";"0.04"
"after";"both";-34;0;"comparisons";"binomial";165;29;55;2;"0.55";"-0.70±0.46";"-1.53";"0.13"
"after";"both";-36;0;"comparisons";"binomial";165;29;55;2;"1.02";"-1.07±0.51";"-2.09";"0.04"
"after";"both";-38;0;"comparisons";"binomial";165;29;55;2;"1.49";"-1.10±0.52";"-2.11";"0.04"
"after";"both";-40;0;"comparisons";"binomial";165;29;55;2;"1.71";"-0.80±0.53";"-1.51";"0.13"
"after";"both";-30;0;"comparisons";"gaussian";165;29;55;2;"-1.01";"-1.52±0.46";"-3.31";"<0.001"
"after";"both";-32;0;"comparisons";"gaussian";165;29;55;2;"-0.63";"-1.46±0.48";"-3.04";"0.002"
"after";"both";-34;0;"comparisons";"gaussian";165;29;55;2;"-0.25";"-1.35±0.50";"-2.73";"0.006"
"after";"both";-36;0;"comparisons";"gaussian";165;29;55;2;"0.12";"-1.46±0.47";"-3.10";"0.002"
