"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"o_in";"both";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.562";"0.019±0.003";"6.084";"<0.001"
"o_in";"both";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.040";"0.018±0.003";"6.812";"<0.001"
"o_in";"both";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.621";"0.018±0.002";"7.487";"<0.001"
"o_in";"calls";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-2.667";"0.025±0.006";"4.455";"<0.001"
"o_in";"calls";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"-2.061";"0.019±0.005";"4.032";"<0.001"
"o_in";"calls";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.564";"0.017±0.004";"4.088";"<0.001"
"o_in";"calls";-36;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.339";"0.019±0.004";"5.053";"<0.001"
"o_in";"song";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-2.866";"0.017±0.004";"4.456";"<0.001"
"o_in";"song";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"-2.411";"0.018±0.003";"5.622";"<0.001"
"o_in";"song";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"-2.023";"0.019±0.003";"6.372";"<0.001"
"o_in";"song";-36;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.602";"0.019±0.003";"7.135";"<0.001"
