"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"before";"both";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.82";"-0.31±0.07";"-4.08";"<0.001"
"before";"both";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.23";"-0.32±0.06";"-4.96";"<0.001"
"before";"both";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.60";"-0.39±0.05";"-7.22";"<0.001"
"before";"both";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.93";"-0.37±0.05";"-7.81";"<0.001"
"before";"both";-38;0;"comparisons";"zero-inflated poisson";165;29;55;2;"2.24";"-0.33±0.04";"-7.91";"<0.001"
"before";"both";-40;0;"comparisons";"zero-inflated poisson";165;29;55;2;"2.44";"-0.27±0.04";"-7.23";"<0.001"
"before";"both";-30;0;"comparisons";"poisson";67;24;37;2;"2.31";"-0.29±0.07";"-3.94";"<0.001"
"before";"both";-32;0;"comparisons";"poisson";77;25;41;2;"2.39";"-0.32±0.06";"-4.97";"<0.001"
"before";"both";-34;0;"comparisons";"poisson";87;26;45;2;"2.45";"-0.38±0.05";"-7.12";"<0.001"
"before";"both";-36;0;"comparisons";"poisson";98;27;48;2;"2.54";"-0.36±0.05";"-7.80";"<0.001"
"before";"both";-38;0;"comparisons";"poisson";111;28;50;2;"2.65";"-0.32±0.04";"-7.81";"<0.001"
"before";"both";-40;0;"comparisons";"poisson";119;28;51;2;"2.79";"-0.27±0.04";"-7.13";"<0.001"
"before";"both";-40;0;"comparisons";"poisson";119;28;51;2;"2.79";"-0.27±0.04";"-7.13";"<0.001"
"before";"both";-30;0;"comparisons";"binomial";165;29;55;2;"0.12";"-0.73±0.50";"-1.44";"0.15"
"before";"both";-32;0;"comparisons";"binomial";165;29;55;2;"0.32";"-0.45±0.48";"-0.94";"0.35"
"before";"both";-34;0;"comparisons";"binomial";165;29;55;2;"0.55";"-0.50±0.45";"-1.11";"0.27"
"before";"both";-36;0;"comparisons";"binomial";165;29;55;2;"1.02";"-0.12±0.50";"-0.25";"0.80"
"before";"both";-38;0;"comparisons";"binomial";165;29;55;2;"1.49";"-0.39±0.51";"-0.76";"0.45"
"before";"both";-40;0;"comparisons";"binomial";165;29;55;2;"1.71";"-0.15±0.54";"-0.27";"0.79"
"before";"both";-30;0;"comparisons";"gaussian";165;29;55;2;"-1.01";"-0.95±0.46";"-2.06";"0.04"
"before";"both";-32;0;"comparisons";"gaussian";165;29;55;2;"-0.63";"-0.85±0.48";"-1.76";"0.08"
"before";"both";-34;0;"comparisons";"gaussian";165;29;55;2;"-0.25";"-0.95±0.50";"-1.91";"0.06"
"before";"both";-36;0;"comparisons";"gaussian";165;29;55;2;"0.12";"-0.51±0.47";"-1.09";"0.27"
"before";"both";-38;0;"comparisons";"gaussian";165;29;55;2;"0.67";"-0.56±0.47";"-1.19";"0.23"
"before";"both";-40;0;"comparisons";"gaussian";165;29;55;2;"0.93";"-0.32±0.45";"-0.71";"0.48"
"before";"calls";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"-0.48";"-0.25±0.12";"-2.17";"0.03"
"before";"calls";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.11";"-0.32±0.10";"-3.10";"0.002"
"before";"calls";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.40";"-0.43±0.08";"-5.17";"<0.001"
"before";"calls";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.57";"-0.28±0.08";"-3.73";"<0.001"
"before";"calls";-38;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.07";"-0.24±0.07";"-3.56";"<0.001"
"before";"calls";-40;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.29";"-0.24±0.06";"-3.90";"<0.001"
"before";"calls";-30;0;"comparisons";"poisson";52;22;30;2;"1.76";"-0.25±0.12";"-2.11";"0.03"
