"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"after";"song";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.06";"-1.45±0.03";"-55.32";"<0.001"
"after";"song";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.24";"-1.30±0.02";"-56.10";"<0.001"
"after";"song";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.34";"-1.21±0.02";"-55.90";"<0.001"
"after";"song";-30;1;"comparisons";"poisson";68;26;43;2;"4.26";"-1.74±0.05";"-38.42";"<0.001"
"after";"song";-32;1;"comparisons";"poisson";76;26;44;2;"4.50";"-1.65±0.04";"-44.87";"<0.001"
"after";"song";-34;1;"comparisons";"poisson";83;26;44;2;"4.84";"-1.59±0.03";"-52.01";"<0.001"
"after";"song";-36;1;"comparisons";"poisson";84;26;44;2;"5.06";"-1.45±0.03";"-55.32";"<0.001"
"after";"song";-38;1;"comparisons";"poisson";84;26;44;2;"5.24";"-1.30±0.02";"-56.10";"<0.001"
"after";"song";-40;1;"comparisons";"poisson";84;26;44;2;"5.34";"-1.21±0.02";"-55.90";"<0.001"
"after";"song";-30;1;"comparisons";"binomial";90;27;45;2;"3.37";"-2.91±0.87";"-3.36";"<0.001"
"after";"song";-32;1;"comparisons";"binomial";90;27;45;2;"12.17";"-5.25±2.46";"-2.14";"0.03"
"after";"song";-34;1;"comparisons";"binomial";90;27;45;2;"30.29";"-16.80±8.43";"-1.99";"0.05"
"after";"song";-36;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"song";-38;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"song";-40;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"song";-30;1;"comparisons";"gaussian";90;27;45;2;"3.65";"-4.40±0.56";"-7.90";"<0.001"
"after";"song";-32;1;"comparisons";"gaussian";90;27;45;2;"4.10";"-3.64±0.51";"-7.07";"<0.001"
"after";"song";-34;1;"comparisons";"gaussian";90;27;45;2;"4.55";"-2.92±0.40";"-7.30";"<0.001"
"after";"song";-36;1;"comparisons";"gaussian";90;27;45;2;"4.81";"-2.58±0.36";"-7.11";"<0.001"
"after";"song";-38;1;"comparisons";"gaussian";90;27;45;2;"4.97";"-2.39±0.36";"-6.62";"<0.001"
"after";"song";-40;1;"comparisons";"gaussian";90;27;45;2;"5.07";"-2.24±0.36";"-6.20";"<0.001"
