*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;1:03:35.193;1.542;4.250.000;9.375.000;-1;;197_170419;-52.96
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;0:16:03.247;6.549;4.562.500;9.187.500;-1;rather close to box;box9_01042019;-39.47
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;0:19:36.898;1.732;4.375.000;7.937.500;-1;> 50;box9_01042019;-46.96
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;0:53:01.760; 0.753;4.062.500;7.312.500;-1;further away;box9_01042019;54.98
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:22:34.168;3.166;3.812.500;9.625.000;-1;further away;197_170419;-44.35
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:22:42.667;2.240;3.687.500;8.875.000;-1;further away;197_170419;-50.42
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;0:50:14.440;27.601;4.625.000;7.812.500;-1;very far away;box12_01042019;-49.15
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;0:55:05.478;1.252;4.750.000;7.437.500;-1;very far away;box12_01042019;-59.05
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;1:06:41.524;42.458;4.250.000;8.125.000;-1;outside of territory;box12_01042019;-42.73
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:10:01.814;1.161;4.125.000;8.437.500;-1;outside of territory;012_110419;-51.08
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:10:13.234;1.188;4.250.000;8.125.000;-1;outside of territory;012_110419;-51.82
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:17:56.325;16.908;4.250.000;9.187.500;-1;outside of territory;012_110419;-49.69
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;1:22:17.243;1.587;3.125.000;8.125.000;-1;outside of territory;174_150419;-54.37
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;1:09:47.247;224.181;3.625.000;7.125.000;-1;>50;box12_01042019;-37.80
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:33:18.685;1.043;4.125.000;7.687.500;-1;quite far away;box174_03042019;-50.83
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:35:24.644;1.469;3.562.500;8.250.000;-1;quite far off;box174_03042019;-51.10
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:44:52.281;1.116;4.500.000;8.875.000;-1;quite far off;box174_03042019;-53.58
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:50:02.648;1.161;4.125.000;9.125.000;-1;50 m (close to 156);box174_03042019;51.73
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:51:32.036;4.454;4.250.000;8.250.000;-1;outside of territory, > 50 m;box174_03042019;-52.27
