"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"22",7,"B4H0471",661.677183334033,2019-04-07 19:39:00,2019-04-08 06:40:40,0.631,1,25,1,1,-2,2019-04-08 06:11:00,2019-04-08 07:09:59,"during",-30,72,1,1,1,29,"during",73,1,"1",18,1,18,2.4,0.0333333333333333,2.43333333333333,2019-04-08,6
"23",7,"B4H0471",661.677183334033,2019-04-07 19:39:00,2019-04-08 06:40:40,0.631,1,25,1,1,-2,2019-04-08 06:11:00,2019-04-08 07:09:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-08,6
"24",7,"B4H0471",661.677183334033,2019-04-07 19:39:00,2019-04-08 06:40:40,0.631,1,25,1,1,-2,2019-04-08 06:11:00,2019-04-08 07:09:59,"after",-30,70,0,1,0,29,"after",70,1,"1",15,0,15,2.33333333333333,0,2.33333333333333,2019-04-08,6
"25",7,"B4H0471",38.6362666686376,2019-04-08 10:33:15,2019-04-08 11:11:51,2.176,0,26,1,1,-2,2019-04-08 09:55:00,2019-04-08 11:49:59,"before",-30,14,1,1,1,38,"before",15,1,"1",5,1,6,0.362353850595101,0.0258824178996501,0.388236268494751,2019-04-08,11
"26",7,"B4H0471",38.6362666686376,2019-04-08 10:33:15,2019-04-08 11:11:51,2.176,0,26,1,1,-2,2019-04-08 09:55:00,2019-04-08 11:49:59,NA,-30,6,0,1,0,2,NA,6,1,"1",1,0,1,0.155294507397901,0,0.155294507397901,2019-04-08,11
"27",7,"B4H0471",38.6362666686376,2019-04-08 10:33:15,2019-04-08 11:11:51,2.176,0,26,1,1,-2,2019-04-08 09:55:00,2019-04-08 11:49:59,"during",-30,2,4,1,1,37,"during",6,1,"1",1,2,3,0.0517648357993002,0.1035296715986,0.155294507397901,2019-04-08,11
"28",7,"B4H0471",38.6362666686376,2019-04-08 10:33:15,2019-04-08 11:11:51,2.176,0,26,1,1,-2,2019-04-08 09:55:00,2019-04-08 11:49:59,"after",-30,8,3,1,1,38,"after",11,1,"1",5,3,8,0.207059343197201,0.0776472536989503,0.284706596896151,2019-04-08,11
"29",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,-1,1011,1,1,-2,2019-04-08 19:25:00,2019-04-08 19:53:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-09,6
"30",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,-1,1011,1,1,-2,2019-04-08 19:25:00,2019-04-08 19:53:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-09,6
"31",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,-1,1011,1,1,-2,2019-04-08 19:25:00,2019-04-08 19:53:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-09,6
"32",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,1,27,1,1,-1,2019-04-09 06:15:00,2019-04-09 07:13:59,"during",-30,203,6,1,1,29,"during",209,1,"1",22,3,22,6.76666666666667,0.2,6.96666666666667,2019-04-09,6
"33",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,1,27,1,1,-1,2019-04-09 06:15:00,2019-04-09 07:13:59,NA,-30,7,0,1,0,1,NA,7,1,"1",1,0,1,0.233333333333333,0,0.233333333333333,2019-04-09,6
"34",7,"B4H0471",665.366899998983,2019-04-08 19:39:34,2019-04-09 06:44:55,1.014,1,27,1,1,-1,2019-04-09 06:15:00,2019-04-09 07:13:59,"after",-30,7,5,1,1,29,"after",12,1,"1",4,3,6,0.233333333333333,0.166666666666667,0.4,2019-04-09,6
"35",7,"B4H0471",8.39718333482742,2019-04-09 09:19:30,2019-04-09 09:27:51,2.831,0,28,1,1,-1,2019-04-09 09:12:00,2019-04-09 09:35:59,"before",-30,3,9,1,1,7,"before",12,1,"1",1,2,2,0.357262653484945,1.07178796045483,1.42905061393978,2019-04-09,9
"36",7,"B4H0471",8.39718333482742,2019-04-09 09:19:30,2019-04-09 09:27:51,2.831,0,28,1,1,-1,2019-04-09 09:12:00,2019-04-09 09:35:59,NA,-30,1,0,1,0,2,NA,1,1,"1",1,0,1,0.119087551161648,0,0.119087551161648,2019-04-09,9
"37",7,"B4H0471",8.39718333482742,2019-04-09 09:19:30,2019-04-09 09:27:51,2.831,0,28,1,1,-1,2019-04-09 09:12:00,2019-04-09 09:35:59,"during",-30,3,1,1,1,7,"during",4,1,"1",1,1,2,0.357262653484945,0.119087551161648,0.476350204646593,2019-04-09,9
"38",7,"B4H0471",8.39718333482742,2019-04-09 09:19:30,2019-04-09 09:27:51,2.831,0,28,1,1,-1,2019-04-09 09:12:00,2019-04-09 09:35:59,"after",-30,41,4,1,1,8,"after",45,1,"1",3,4,7,4.88258959762758,0.476350204646593,5.35893980227417,2019-04-09,9
"39",7,"B4H0471",685.767800001303,2019-04-09 19:33:48,2019-04-10 06:59:33,1.068,-1,1012,0,1,-1,2019-04-09 19:19:00,2019-04-09 19:47:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-10,6
"40",7,"B4H0471",685.767800001303,2019-04-09 19:33:48,2019-04-10 06:59:33,1.068,-1,1012,0,1,-1,2019-04-09 19:19:00,2019-04-09 19:47:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-10,6
"41",7,"B4H0471",685.767800001303,2019-04-09 19:33:48,2019-04-10 06:59:33,1.068,-1,1012,0,1,-1,2019-04-09 19:19:00,2019-04-09 19:47:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-10,6
"42",14,"B4P9322",663.00556666851,2019-04-03 19:44:37,2019-04-04 06:47:35,2.334,-1,1037,1,1,-2,2019-04-03 19:30:00,2019-04-03 19:58:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-04,6
"43",14,"B4P9322",663.00556666851,2019-04-03 19:44:37,2019-04-04 06:47:35,2.334,-1,1037,1,1,-2,2019-04-03 19:30:00,2019-04-03 19:58:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-04,6
"44",14,"B4P9322",663.00556666851,2019-04-03 19:44:37,2019-04-04 06:47:35,2.334,-1,1037,1,1,-2,2019-04-03 19:30:00,2019-04-03 19:58:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-04,6
